RS500/4,2.2,1420,183,741,832,360,1000,303,185,600,505,551,585,12,507,361,587,441,324,280,129,3850,5400,6850,8500,10800
RS500/6,0.37,930,183,631,832,360,1000,303,185,600,505,551,585,12,507,361,587,441,251,200,115,2400,3050,3850,4750,6150
RS500/6,0.55,930,183,631,832,360,1000,303,185,600,505,551,585,12,507,361,587,441,251,200,116,2400,3450,4250,5400,6850
RS560/4,3,1430,205,797,940,400,1126,332,206,670,565,629,665,12,569,404,669,504,324,280,141,5400,6850,8500,10800,13500
RS560/4,4,1430,205,797,940,400,1126,332,206,670,565,629,665,12,569,404,669,504,324,280,146,5400,7650,10800,13500,17000
RS560/6,0.75,930,205,727,940,400,1126,332,206,670,565,629,665,12,569,404,669,504,276,225,131,3450,4250,5400,6850,8500
RS560/6,1.1,930,205,727,940,400,1126,332,206,670,565,629,665,12,569,404,669,504,276,225,133,3450,4750,6150,7650,9500
RS630/4,5.5,1440,230,908,1052,450,1260,373,231,750,635,698,735,12,638,453,738,553,374,320,190,7650,9500,12000,15300,19000
RS630/4,7.5,1450,230,908,1052,450,1260,373,231,750,635,698,735,12,638,453,738,553,374,320,204,7650,10800,15300,19000,24200
RS630/6,1.5,950,230,846,1052,450,1260,373,231,750,635,698,735,12,638,453,738,553,324,280,173,4750,6150,7650,9500,12000
RS630/6,2.2,950,230,846,1052,450,1260,373,231,750,635,698,735,12,638,453,738,553,324,280,179,4750,6850,9500,12000,15300
RS710/4,11,1450,257,1105,1160,500,1416,427,256,850,715,775,815,16,715,507,815,607,444,435,315,10800,13500,17000,21600,27000
RS710/4,15,1450,257,1105,1160,500,1416,427,256,850,715,775,815,16,715,507,815,607,444,435,326,10800,15300,21600,27000,34200
RS710/6,3,950,257,969,1160,500,1416,427,256,850,715,775,815,16,715,507,815,607,374,320,276,6850,8500,10800,13500,17000
RS710/6,4,960,257,969,1160,500,1416,427,256,850,715,775,815,16,715,507,815,607,374,320,286,6850,9500,13500,17000,21600
RS800/4,18.5,1460,287,1187,1312,560,1591,478,287,950,805,861,905,16,801,569,921,689,926,463,402,15300,19000,24200,30600,38200
RS800/4,22,1470,287,1262,1312,560,1591,478,287,950,805,861,905,16,801,569,921,689,926,463,418,15300,21600,30600,38200,47500
RS800/6,5.5,960,287,1051,1312,560,1591,478,287,950,805,861,905,16,801,569,921,689,926,303,330,9500,12000,15300,19000,24200
RS800/6,7.5,970,287,1187,1312,560,1591,478,287,950,805,861,905,16,801,569,921,689,926,418,368,9500,13500,19000,24200,30600
RS900/4,37,1480,322,1408,1470,630,1780,538,319,1060,905,958,1005,16,898,638,1018,758,1026,540,630,21600,27000,34200,42500,54000
RS900/4,45,1480,322,1408,1470,630,1780,538,319,1060,905,958,1005,16,898,638,1018,758,1026,540,650,21600,30600,42500,54000,68500
RS900/6,11,970,322,1256,1470,630,1780,538,319,1060,905,958,1005,16,898,638,1018,758,1026,415,500,13500,17000,21600,27000,34200
RS900/6,15,970,322,1331,1470,630,1780,538,319,1060,905,958,1005,16,898,638,1018,758,1026,460,499,13500,19000,27000,34200,42500
RS1000/4,55,1480,360,1505,1656,710,1993,607,358,1180,1007,1067,1107,24,1007,715,1127,835,1128,600,832,30600,38200,47500,61000,76500
RS1000/4,75,1480,360,1635,1656,710,1993,607,358,1180,1007,1067,1107,24,1007,715,1127,835,1128,690,941,30600,42500,61000,76500,95400
RS1000/6,18.5,970,360,1428,1656,710,1993,607,358,1180,1007,1067,1107,24,1007,715,1127,835,1128,500,697,19000,24200,30600,38200,47500
RS1000/6,22,970,360,1428,1656,710,1993,607,358,1180,1007,1067,1107,24,1007,715,1127,835,1128,500,716,19000,27000,38200,47500,61000
RS1120/6,30,980,404,1590,1854,800,2222,684,401,1320,1130,1200,1250,24,1130,801,1270,941,1268,540,1071,27000,34200,42500,54000,68500
RS1120/6,37,980,404,1590,1854,800,2222,684,401,1320,1130,1200,1250,24,1130,801,1270,941,1268,600,1212,27000,38200,54000,68500,85000
RS1250/6,55,980,452,1818,2084,900,2517,770,449,1500,1260,1337,1380,24,1267,898,1407,1038,1400,690,1475,38200,47500,61000,76500,95400
RS1250/6,75,985,452,1818,2084,900,2517,770,449,1500,1260,1337,1380,24,1267,898,1407,1038,1400,800,1596,38200,54000,76500,95400,120600
LBT220/2,1.5,2860,85,471,410,180,495,135,86,300,228,265,298,8,231,166,301,236,260,246,36,1080,1330,1700,1900,2150
LBT220/2,3,2900,85,541,410,180,495,135,86,300,228,265,298,8,231,166,301,236,324,276,47,1080,1500,2150,3050,3850
LBT220/4,0.18,1320,85,386,410,180,495,135,86,300,228,265,298,8,231,166,301,236,206,145,28,540,684,828,930,1080
LBT220/4,0.37,1360,85,411,410,180,495,135,86,300,228,265,298,8,231,166,301,236,225,189,30,540,756,1080,1500,1900
LBT250/2,3,2900,94,560,441,195,526,149,96,315,255,292,325,8,258,185,328,255,324,276,49,1500,1900,2400,3050,3450
LBT250/2,5.5,2890,94,560,441,195,526,149,96,315,255,292,325,8,258,185,328,255,324,276,66,1500,2150,3050,4250,5400
LBT250/4,0.25,1370,94,430,441,195,526,149,96,315,255,292,325,8,258,185,328,255,225,189,34,756,930,1080,1190,1330
LBT250/4,0.55,1380,94,450,441,195,526,149,96,315,255,292,325,8,258,185,328,255,225,211,37,756,1080,1500,1900,2400
LBT280/2,5.5,2890,105,647,477,200,610,172,105,375,285,332,365,8,288,205,368,285,372,336,72,2150,2700,3450,4250,4750
LBT280/2,9,2890,105,647,477,200,610,172,105,375,285,332,365,8,288,205,368,285,372,336,78,2150,3050,4250,6150,7650
LBT280/4,0.55,1380,105,475,477,200,610,172,105,375,285,332,365,8,288,205,368,285,225,211,42,1080,1330,1700,1900,2150
LBT280/4,0.75,1380,105,475,477,200,610,172,105,375,285,332,365,8,288,205,368,285,225,211,44,1080,1500,1900,2400,3050
LBT280/4,1.1,1390,105,515,477,200,610,172,105,375,285,332,365,8,288,205,368,285,260,246,46,1080,1500,2150,3050,3850
LBT310/4,1.1,1390,117,539,527,225,658,196,117,400,320,366,400,8,322,229,402,309,260,246,57,1500,1900,2400,2700,3050
LBT310/4,1.5,1390,117,539,527,225,658,196,117,400,320,366,400,8,322,229,402,309,260,246,60,1500,2150,2700,3450,4250
LBT310/4,2.2,1410,117,609,527,225,658,196,117,400,320,366,400,8,322,229,402,309,324,276,62,1500,2150,3050,4250,6150
LBT310/6,0.37,930,117,499,527,225,658,196,117,400,320,366,400,8,322,229,402,309,225,211,50,930,1190,1500,1900,2400
LBT310/6,0.55,930,117,499,527,225,658,196,117,400,320,366,400,8,322,229,402,309,225,211,53,930,1330,1900,2700,3850
LBT350/4,2.2,1420,130,636,600,255,740,216,131,450,360,405,440,8,361,256,441,336,324,276,76,2150,2700,3450,4250,4750
LBT350/4,3,1420,130,636,600,255,740,216,131,450,360,405,440,8,361,256,441,336,324,276,78,2150,3050,3850,4750,6150
LBT350/4,4,1420,130,636,600,255,740,216,131,450,360,405,440,8,361,256,441,336,324,276,87,2150,3050,4250,6150,8500
LBT350/6,0.75,935,130,566,600,255,740,216,131,450,360,405,440,8,361,256,441,336,260,246,70,1330,1900,2700,3450,4250
LBT350/6,1.1,935,130,566,600,255,740,216,131,450,360,405,440,8,361,256,441,336,260,246,72,1330,1900,2700,3850,5400
LBT400/4,4,1430,147,730,655,285,815,245,147,500,405,448,485,8,404,288,484,368,372,336,109,3050,3850,4750,6150,7650
LBT400/4,5.5,1430,147,668,655,285,815,245,147,500,405,448,485,8,404,288,484,368,324,276,98,3050,4250,6150,7650,9500
